11/22/2019,navy blue romper,black tank top,gold vans,grey striped sweater,,
11/23/2019,leggings,sequined crop top,gold vans,fur coat,,
11/24/2019,black lace romper,black knee highs,tall black boots,fur coat,,
11/25/2019,purple corduroys,gold vans,polka dot trim shirt,fur coat,,
11/27/2019,white tee,maroon skirt,black knee highs,tall black boots,fur coat,
11/28/2019,sequined romper,,,,,
11/29/2019,black knee highs,tall black boots,black long sleeve crop top,green overalls,,
11/20/2019,blue plaid skirt,black knee highs,tall black boots,black long sleeve crop top,,
12/1/2019,maroon sparkly dress,black tights,gold vans,grey flower sweater,fur coat,
12/2/2019,light skinny jeans,warren tee,gold vans,,,
12/3/2019,light skinny jeans,quinn's grey shirt,gold vans,,,
12/4/2019,maroon sparkly dress,long sleeve black crop top,black tights,black knee highs,tall black boots,
12/5/2019,joggers,google face tee,sneakers,,,
12/6/2019,dark skinny jeans,purple stats tee,fur coat,gold vans,,
12/7/2019,white dress,black tights,gold vans,fur coat,,
12/7/2019,purple corduroys,bdsm crop top,gold vans,fur coat,,
12/8/2019,warren tee,skinny black jeans,gold vans,fur coat,,
12/9/2019,joggers,praetorian tee,sneakers,,,
12/10/2019,blue velvet skirt,black striped top,maroon knee highs,tall black boots,,
12/11/2019,cryptodira tee,black skinny jeans,gold vans,,,
12/12/2019,brown henley,light skinny jeans,gold vans,,,
12/13/2019,black corduroys,maroon velvet sweater,gold vans,,,
12/14/2019,maroon sparkly dress,white bralette,black vans,,,
12/15/2019,dark skinny jeans,red lace shirt,black lace cami,gold vans,fur coat,
12/16/2019,adidas joggers,black tee,sneakers,grey striped sweater,,
12/17/2019,ripped black jeans,white bralette,black lace tank top,maroon velvet sweater,gold vans,
12/17/2019,black sequined dress,fur coat,gold vans,,,
12/18/2019,purple lace dress,black tights,tall black boots,red vneck sweater,,
12/19/2019,gold vans,black ripped jeans,grey striped sweater,,,
12/19/2019,gold vans,black ripped jeans,sequined crop top,red vneck sweater,,
12/21/2019,velvet dress,black knee highs,black boots,,,
12/22/2019,adidas joggers,black vans,r&g tee,fur coat,,
12/23/2019,red vneck sweater,jumpsuit,black vans,,,
12/23/2019,lace bodysuit,jumpsuit,black vans,fur coat,,
